email_content,__expected
"Hi, I ordered a laptop last week, but I haven't received any shipping update. Can you help?",Order Issues
"I'm having trouble logging into my account. It keeps saying my password is incorrect even though I'm sure it's right.",Technical Support
"Do you have the latest iPhone model in stock? I couldn't find it on your website.",Product Inquiries
"I received my order yesterday, but the shirt is the wrong size. I'd like to return it for a refund.",Returns/Refunds
"Can you tell me when the next sale is? I'm looking to buy a new TV.",Product Inquiries
"My order arrived damaged. What should I do?",Returns/Refunds
"How do I track my recent order?",Order Issues
"I bought a blender from your store, but it's not working. Is there a warranty?",Technical Support
"I want to change the shipping address for my recent order. Is that possible?",Order Issues
"What's your return policy for electronics?",Returns/Refunds
